WigleWifi-1.4,appRelease=2.26,model=Nexus 5,release=6.0.1,device=hammerhead,display=M4B30Z,board=hammerhead,brand=google
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
1c:b9:c4:16:1d:78,Ariel_University,[ESS],2017-11-07 16:37:41,11,-89,32.10379879,35.209831,704,4,WIFI
1c:b9:c4:16:06:b8,Ariel_University,[ESS],2017-11-07 16:37:45,1,-68,32.10382447,35.20987842,703,4,WIFI
58:70:c6:f5:85:bb,YICarCam_f585bb,[WPA2-PSK-CCMP][WPS][ESS],2017-11-07 16:37:45,7,-73,32.10382447,35.20987842,703,4,WIFI
60:e3:27:7b:e0:98,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-07 16:37:45,4,-88,32.10382447,35.20987842,703,4,WIFI
1c:b9:c4:15:fd:4c,Ariel_University,[ESS],2017-11-07 16:37:45,44,-90,32.10382447,35.20987842,703,4,WIFI
24:79:2a:2b:07:b8,Ariel_University,[ESS],2017-11-07 16:37:49,11,-80,32.10386403,35.20990656,705,4,WIFI
1c:b9:c4:16:1d:78,Ariel_University,[ESS],2017-11-07 16:37:49,11,-82,32.10386403,35.20990656,705,4,WIFI
1c:b9:c4:16:06:bc,Ariel_University,[ESS],2017-11-07 16:37:49,36,-68,32.10386403,35.20990656,705,4,WIFI
24:79:2a:2c:5b:dc,Ariel_University,[ESS],2017-11-07 16:37:49,36,-87,32.10386403,35.20990656,705,4,WIFI
24:79:2a:2b:bd:88,Ariel_University,[ESS],2017-11-07 16:37:49,11,-89,32.10386403,35.20990656,705,4,WIFI
1c:b9:c4:15:fd:48,Ariel_University,[ESS],2017-11-07 16:37:49,1,-90,32.10386403,35.20990656,705,4,WIFI
3c:52:82:ef:a4:8b,DIRECT-8A-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-07 16:37:55,6,-70,32.10392389,35.2099147,709,3,WIFI
24:79:2a:2b:07:b8,Ariel_University,[ESS],2017-11-07 16:37:55,11,-74,32.10392389,35.2099147,709,3,WIFI
00:1d:aa:81:d8:3c,KCG-ADSL,[WPA2-PSK-CCMP][WPS][ESS],2017-11-07 16:37:55,3,-88,32.10392389,35.2099147,709,3,WIFI
24:79:2a:2b:07:bc,Ariel_University,[ESS],2017-11-07 16:37:55,36,-80,32.10392389,35.2099147,709,3,WIFI
24:79:2a:2c:5c:18,Ariel_University,[ESS],2017-11-07 16:37:55,11,-84,32.10392389,35.2099147,709,3,WIFI
1c:b9:c4:16:06:b8,Ariel_University,[ESS],2017-11-07 16:38:02,1,-59,32.10398031,35.20997699,709,8,WIFI
3c:52:82:ef:a4:8b,DIRECT-8A-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-07 16:38:02,6,-64,32.10398031,35.20997699,709,8,WIFI
24:79:2a:2b:07:b8,Ariel_University,[ESS],2017-11-07 16:38:02,11,-66,32.10398031,35.20997699,709,8,WIFI
24:79:2a:2c:5c:1c,Ariel_University,[ESS],2017-11-07 16:38:02,36,-87,32.10398031,35.20997699,709,8,WIFI
58:70:c6:f5:85:bb,YICarCam_f585bb,[WPA2-PSK-CCMP][WPS][ESS],2017-11-07 16:38:07,7,-66,32.10397286,35.2100233,710,7,WIFI
24:79:2a:2c:5c:18,Ariel_University,[ESS],2017-11-07 16:38:07,11,-73,32.10397286,35.2100233,710,7,WIFI
24:79:2a:2c:5c:1c,Ariel_University,[ESS],2017-11-07 16:38:07,36,-77,32.10397286,35.2100233,710,7,WIFI
30:e1:71:0d:e0:67,DIRECT-66-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-07 16:38:07,6,-89,32.10397286,35.2100233,710,7,WIFI
24:79:2a:2b:07:bc,Ariel_University,[ESS],2017-11-07 16:38:14,36,-68,32.10397684,35.21003986,714,7,WIFI
24:79:2a:ab:07:b7,,[WPA2-PSK-CCMP][ESS],2017-11-07 16:38:14,36,-75,32.10397684,35.21003986,714,7,WIFI
24:79:2a:ab:bd:87,,[WPA2-PSK-CCMP][ESS],2017-11-07 16:38:14,44,-87,32.10397684,35.21003986,714,7,WIFI
24:79:2a:2b:bd:8c,Ariel_University,[ESS],2017-11-07 16:38:14,44,-87,32.10397684,35.21003986,714,7,WIFI
24:79:2a:2c:5c:18,Ariel_University,[ESS],2017-11-07 16:38:18,11,-66,32.10397099,35.21005061,716,9,WIFI
24:79:2a:2c:5c:1c,Ariel_University,[ESS],2017-11-07 16:38:18,36,-71,32.10397099,35.21005061,716,9,WIFI
24:79:2a:2c:5c:1c,Ariel_University,[ESS],2017-11-07 16:38:24,36,-66,32.10397261,35.21006123,715,5,WIFI
24:79:2a:2b:bd:8c,Ariel_University,[ESS],2017-11-07 16:38:29,44,-82,32.10396651,35.21008354,716,5,WIFI
1c:b9:c4:96:06:b7,,[WPA2-PSK-CCMP][ESS],2017-11-07 16:38:29,36,-75,32.10396651,35.21008354,716,5,WIFI
24:79:2a:2b:bd:88,Ariel_University,[ESS],2017-11-07 16:38:29,11,-77,32.10396651,35.21008354,716,5,WIFI
1c:b9:c4:16:ed:3c,Ariel_University,[ESS],2017-11-07 16:38:29,44,-90,32.10396651,35.21008354,716,5,WIFI
60:e3:27:7b:e0:98,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-07 16:38:36,4,-83,32.10388306,35.21016085,708,3,WIFI
